iter	Passed	Remaining
0	0	80
1	1	70
2	2	67
3	2	65
4	3	64
5	4	63
6	4	62
7	5	60
8	5	60
9	6	59
10	7	58
11	7	57
12	8	56
13	9	55
14	9	55
15	10	54
16	10	53
17	11	52
18	12	51
19	12	51
20	13	50
21	13	49
22	14	48
23	15	48
24	15	47
25	16	47
26	17	47
27	18	46
28	19	46
29	19	46
30	20	45
31	21	45
32	22	44
33	22	44
34	23	43
35	24	43
36	25	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	31	35
47	32	34
48	32	34
49	33	33
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	28
56	37	28
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
