iter	Passed	Remaining
0	137	137771
1	140	69870
2	143	47702
3	146	36563
4	148	29532
5	150	24977
6	153	21770
7	155	19271
8	160	17642
9	163	16157
10	164	14811
11	166	13680
12	167	12714
13	168	11897
14	172	11331
15	174	10744
16	175	10165
17	177	9659
18	178	9240
19	180	8832
20	181	8458
21	182	8113
22	183	7794
23	184	7502
24	190	7415
25	191	7155
26	191	6910
27	192	6681
28	193	6465
29	193	6263
30	194	6074
31	195	5899
32	195	5734
33	196	5577
34	196	5428
35	197	5292
36	198	5161
37	198	5037
38	199	4921
39	202	4856
40	203	4767
41	204	4668
42	205	4569
43	205	4473
44	206	4382
45	207	4294
46	207	4209
47	208	4129
48	208	4053
49	209	3978
50	209	3907
51	210	3838
52	211	3776
53	212	3716
54	212	3656
55	213	3597
56	213	3540
57	214	3490
58	215	3444
59	216	3395
60	217	3346
61	218	3299
62	218	3253
63	219	3209
64	220	3164
65	220	3121
66	221	3080
67	221	3041
68	222	3002
69	223	2963
70	223	2926
71	224	2890
72	224	2855
73	225	2820
74	227	2801
75	228	2779
76	229	2755
77	230	2725
78	231	2695
79	231	2665
80	232	2636
81	232	2607
82	233	2576
83	233	2549
84	234	2523
85	234	2497
86	235	2472
87	236	2448
88	236	2424
89	237	2400
90	238	2377
91	238	2354
92	239	2332
93	239	2310
94	240	2289
95	241	2278
96	243	2263
97	243	2243
98	244	2224
99	245	2206
100	245	2187
101	246	2168
102	246	2150
103	247	2132
104	248	2114
105	248	2097
106	249	2080
107	249	2064
108	250	2048
109	251	2031
110	251	2015
111	252	2000
112	252	1985
113	253	1970
114	254	1955
115	254	1940
116	255	1929
117	257	1921
118	257	1909
119	258	1896
120	259	1883
121	259	1869
122	260	1856
123	261	1844
124	261	1831
125	262	1819
126	262	1806
127	263	1795
128	264	1784
129	265	1774
130	265	1762
131	266	1751
132	267	1740
133	267	1729
134	268	1718
135	268	1708
136	269	1697
137	271	1695
138	273	1692
139	274	1685
140	275	1676
141	275	1665
142	276	1655
143	276	1646
144	277	1636
145	278	1627
146	278	1618
147	279	1609
148	280	1600
149	280	1591
150	281	1583
151	282	1574
152	282	1566
153	283	1557
154	284	1549
155	289	1567
156	290	1561
157	291	1553
158	292	1547
159	293	1540
160	293	1532
161	294	1525
162	295	1518
163	296	1511
164	297	1505
165	298	1500
166	299	1494
167	307	1522
168	308	1516
169	309	1510
170	310	1504
171	311	1499
172	312	1495
173	313	1490
174	315	1488
175	318	1490
176	319	1485
177	320	1479
178	321	1474
179	322	1468
180	323	1462
181	323	1455
182	324	1448
183	325	1442
184	326	1436
185	326	1429
186	327	1423
187	328	1417
188	328	1411
189	329	1404
190	339	1437
191	340	1433
192	341	1427
193	342	1421
194	342	1415
195	343	1409
196	344	1403
197	344	1397
198	345	1391
199	346	1387
200	348	1383
201	349	1381
202	350	1377
203	351	1372
204	352	1366
205	353	1360
206	353	1355
207	354	1350
208	355	1344
209	355	1338
210	356	1333
211	357	1327
212	357	1322
213	358	1316
214	359	1311
215	359	1306
216	360	1301
217	361	1297
218	364	1298
219	365	1294
220	365	1289
221	366	1284
222	367	1280
223	368	1275
224	368	1270
225	369	1265
226	370	1260
227	370	1256
228	371	1251
229	372	1246
230	373	1241
231	373	1237
232	374	1232
233	375	1227
234	377	1227
235	378	1226
236	379	1223
237	380	1218
238	381	1214
239	381	1209
240	382	1205
241	383	1200
242	383	1196
243	384	1191
244	385	1187
245	386	1183
246	386	1179
247	387	1174
248	388	1171
249	388	1166
250	389	1162
251	391	1162
252	393	1160
253	394	1157
254	395	1154
255	396	1151
256	397	1148
257	397	1144
258	398	1140
259	399	1137
260	400	1133
261	400	1129
262	401	1125
263	402	1121
264	402	1117
265	403	1113
266	404	1109
267	409	1117
268	409	1113
269	410	1109
270	411	1105
271	411	1102
272	412	1098
273	413	1094
274	413	1091
275	414	1087
276	415	1084
277	416	1080
278	416	1076
279	417	1073
280	418	1069
281	418	1066
282	419	1064
283	421	1063
284	422	1060
285	423	1057
286	424	1054
287	425	1050
288	425	1047
289	426	1044
290	427	1040
291	427	1037
292	428	1033
293	429	1030
294	429	1027
295	430	1023
296	431	1020
297	431	1016
298	432	1013
299	433	1010
300	433	1007
301	434	1004
302	438	1008
303	439	1005
304	439	1002
305	440	999
306	441	996
307	442	993
308	442	990
309	443	987
310	444	984
311	444	980
312	445	977
313	446	974
314	446	971
315	447	969
316	448	966
317	449	963
318	450	960
319	452	960
320	453	958
321	453	955
322	454	952
323	455	949
324	455	946
325	456	944
326	457	941
327	458	938
328	458	935
329	459	932
330	460	930
331	460	927
332	461	924
333	462	922
334	463	919
335	463	916
336	464	914
337	465	912
338	466	910
339	467	907
340	468	905
341	469	902
342	469	900
343	470	897
344	471	894
345	472	892
346	473	890
347	473	887
348	474	885
349	475	882
350	476	881
351	477	878
352	478	876
353	479	874
354	481	874
355	482	872
356	483	870
357	483	867
358	484	865
359	485	862
360	485	860
361	486	857
362	487	855
363	488	852
364	488	850
365	489	848
366	490	846
367	491	844
368	492	841
369	492	839
370	493	836
371	494	834
372	496	835
373	497	833
374	498	831
375	499	828
376	500	826
377	500	823
378	501	821
379	502	819
380	502	816
381	503	814
382	504	813
383	505	811
384	506	808
385	507	806
386	507	804
387	508	801
388	509	799
389	513	802
390	514	800
391	514	798
392	515	796
393	516	794
394	516	791
395	517	789
396	518	787
397	519	786
398	520	784
399	521	782
400	522	779
401	523	778
402	523	776
403	524	774
404	527	774
405	528	773
406	529	771
407	529	768
408	530	766
409	531	764
410	532	762
411	533	760
412	534	758
413	534	756
414	535	754
415	536	752
416	537	750
417	537	748
418	538	746
419	539	744
420	540	743
421	541	742
422	542	740
423	543	738
424	543	735
425	544	733
426	545	731
427	546	729
428	546	727
429	547	725
430	548	723
431	548	721
432	549	719
433	550	717
434	551	715
435	551	713
436	552	711
437	553	709
438	553	707
439	554	705
440	560	710
441	561	708
442	562	706
443	562	704
444	563	702
445	564	700
446	564	698
447	565	696
448	566	694
449	566	692
450	567	690
451	568	689
452	569	687
453	569	685
454	571	684
455	572	682
456	573	681
457	574	679
458	575	677
459	575	676
460	576	674
461	577	672
462	577	670
463	578	668
464	579	666
465	579	664
466	580	662
467	581	660
468	581	658
469	582	657
470	583	655
471	583	653
472	584	651
473	585	650
474	587	648
475	587	647
476	588	645
477	589	643
478	590	641
479	590	639
480	591	638
481	592	636
482	592	634
483	593	632
484	594	630
485	594	629
486	595	627
487	596	625
488	597	623
489	597	622
490	598	620
491	599	618
492	599	616
493	601	616
494	602	615
495	604	613
496	604	611
497	605	610
498	605	608
499	606	606
500	607	604
501	607	603
502	608	601
503	609	599
504	609	597
505	610	596
506	611	594
507	611	592
508	612	590
509	613	589
510	613	587
511	614	585
512	616	585
513	617	583
514	617	581
515	618	580
516	619	578
517	619	576
518	620	575
519	621	573
520	622	572
521	622	570
522	623	568
523	624	567
524	625	565
525	626	564
526	626	562
527	627	561
528	628	559
529	629	557
530	633	559
531	633	557
532	634	555
533	635	554
534	635	552
535	636	551
536	637	549
537	638	548
538	639	546
539	640	545
540	640	543
541	641	542
542	642	540
543	643	539
544	644	538
545	646	537
546	648	536
547	649	535
548	650	534
549	651	533
550	652	531
551	653	530
552	655	529
553	656	528
554	657	527
555	658	526
556	663	527
557	664	526
558	665	524
559	666	523
560	667	522
561	668	520
562	669	519
563	670	518
564	671	517
565	672	515
566	673	514
567	676	514
568	678	513
569	679	512
570	680	511
571	681	509
572	682	508
573	684	507
574	685	506
575	686	505
576	687	503
577	688	502
578	688	500
579	692	501
580	693	500
581	694	498
582	695	497
583	696	495
584	697	494
585	698	493
586	699	492
587	700	490
588	701	489
589	702	487
590	703	486
591	704	485
592	705	484
593	707	483
594	708	482
595	708	480
596	709	479
597	710	477
598	711	476
599	712	475
600	713	473
601	714	472
602	714	470
603	715	469
604	716	467
605	716	466
606	717	464
607	718	463
608	720	462
609	721	461
610	723	460
611	723	458
612	724	457
613	725	455
614	726	454
615	726	453
616	727	451
617	728	450
618	729	448
619	730	447
620	730	446
621	731	444
622	732	443
623	733	441
624	744	446
625	745	445
626	746	443
627	746	442
628	747	440
629	748	439
630	749	438
631	750	437
632	752	436
633	753	434
634	753	433
635	754	431
636	755	430
637	756	429
638	757	427
639	758	426
640	759	425
641	759	423
642	760	422
643	761	420
644	761	419
645	762	417
646	763	416
647	765	415
648	766	414
649	767	413
650	768	411
651	768	410
652	769	408
653	770	407
654	770	406
655	771	404
656	772	403
657	772	401
658	773	400
659	774	398
660	775	397
661	775	396
662	776	394
663	777	393
664	778	391
665	787	394
666	788	393
667	789	392
668	790	390
669	790	389
670	791	388
671	792	386
672	792	385
673	793	383
674	795	382
675	796	381
676	797	380
677	798	379
678	799	377
679	800	376
680	800	375
681	801	373
682	802	372
683	802	370
684	803	369
685	804	368
686	804	366
687	805	365
688	806	363
689	806	362
690	807	361
691	808	359
692	827	366
693	827	365
694	828	363
695	829	362
696	830	360
697	830	359
698	831	358
699	832	356
700	833	355
701	833	353
702	834	352
703	836	351
704	837	350
705	838	349
706	839	347
707	839	346
708	840	345
709	841	343
710	842	342
711	842	340
712	843	339
713	844	338
714	844	336
715	845	335
716	846	333
717	846	332
718	847	331
719	847	329
720	848	328
721	849	327
722	850	325
723	852	324
724	853	323
725	853	322
726	854	320
727	855	319
728	855	318
729	856	316
730	857	315
731	857	314
732	858	312
733	859	311
734	859	310
735	860	308
736	861	307
737	862	306
738	862	304
739	863	303
740	864	302
741	866	301
742	867	299
743	868	298
744	869	297
745	870	296
746	870	294
747	871	293
748	872	292
749	873	291
750	873	289
751	874	288
752	875	287
753	876	285
754	876	284
755	877	283
756	878	282
757	879	280
758	884	280
759	884	279
760	885	278
761	886	276
762	887	275
763	888	274
764	889	273
765	889	271
766	890	270
767	891	269
768	892	268
769	893	266
770	893	265
771	894	264
772	896	263
773	897	262
774	898	260
775	899	259
776	900	258
777	900	257
778	901	255
779	902	254
